primary_name,movie_count,avg_rating
Shane Ryan,155,5.626451612903226
Tony Newton,130,4.785384615384616
Ruben Rodriguez,129,6.079844961240311
Corey Norman,107,6.017757009345794
Jason Impey,102,5.158823529411765
Evan Marlowe,100,6.403
